index,Player,Opp_Team,Opp_Team_W/L %,Opp_Winning_Record,Opp_Playoff_Team,Opp_Team_Wins,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,TS%,USG%,ORtg,DRtg,+/-,AvMP,AvPTS,AvRB,AvAST,Year
106,Lebron_James,Orlando,0.305,No,No,25,4,4,136,37,71,7,18,15,25,5,29,22,9,2,16,6,96,0.521,0.389,0.6,0.585,29.8,110,109,-11.8,34.1,24,7.3,5.5,2018
107,Lebron_James,Philadelphia,0.634,Yes,Yes,52,4,4,149,50,99,11,27,23,33,8,47,38,6,1,20,3,134,0.505,0.407,0.697,0.59,39.7,115,106,-1,37.3,33.5,11.8,9.5,2018
108,Lebron_James,Phoenix,0.256,No,No,21,2,2,62,18,30,2,6,17,21,0,18,20,4,3,9,5,55,0.6,0.333,0.81,0.701,31,130,87,23.4,31.2,27.5,9,10,2018
109,Lebron_James,Portland,0.598,Yes,Yes,49,2,2,75,25,42,1,6,8,13,1,20,14,6,4,9,6,59,0.595,0.167,0.615,0.618,35.1,112,104,-2,37.5,29.5,10,7,2018
110,Lebron_James,Sacramento,0.329,No,No,27,2,2,79,18,35,5,10,7,11,4,21,23,8,2,11,2,48,0.514,0.5,0.636,0.602,31.2,110,101,-5.9,39.4,24,10.5,11.5,2018
111,Lebron_James,San Antonio,0.573,Yes,Yes,47,2,2,78,24,48,4,11,9,14,4,22,16,1,1,11,3,61,0.5,0.364,0.643,0.563,37.3,105,116,-11.5,39,30.5,11,8,2018
112,Lebron_James,Toronto,0.72,Yes,Yes,59,3,3,109,28,49,4,10,28,35,1,20,24,2,2,7,5,88,0.571,0.4,0.8,0.683,30.5,138,127,0.9,36.3,29.3,6.7,8,2018
113,Lebron_James,Utah,0.585,Yes,Yes,48,2,2,74,21,37,2,11,14,15,1,19,16,3,1,11,3,58,0.568,0.182,0.933,0.665,34.2,116,107,-3.4,37.1,29,9.5,8,2018
114,Lebron_James,Washington,0.524,Yes,Yes,43,4,4,159,56,95,7,22,23,31,10,40,44,5,3,19,10,142,0.589,0.318,0.742,0.654,36.6,126,113,3.9,39.9,35.5,10,11,2018
115,James_Harden,Atlanta,0.354,No,No,32,2,2,69,15,39,4,21,25,28,0,13,14,2,1,10,2,59,0.385,0.19,0.893,0.575,38.6,112,112,10.6,34.5,29.5,6.5,7,2019
116,James_Harden,Boston,0.598,Yes,Yes,29,2,2,77,25,57,15,36,22,26,0,9,10,2,2,10,8,87,0.439,0.417,0.846,0.636,44.5,122,113,10.5,38.7,43.5,4.5,5,2019
